Name,Party,Position,Jurisdiction,OpenFEC ID,District,Incumbent,Status,Race Active,Election Year,Term Start,Term End
Warren Davidson,Republican,House,Ohio,H6OH08315,8,true,Won General,false,2024,2025,2027
David Kustoff,Republican,House,Tennessee,H2TN07103,8,true,Won General,false,2024,2025,2027
Richard Hudson,Republican,House,North Carolina,H2NC08185,9,true,Won General,false,2022,2023,2025
Morgan Griffith,Republican,House,Virginia,H0VA09055,9,true,Won General,false,2022,2023,2025
Paul Gosar,Republican,House,Arizona,H0AZ01259,9,true,Won General,false,2022,2023,2025
Andrew Clyde,Republican,House,Georgia,H0GA09246,9,true,Won General,false,2022,2023,2025
Lisa McClain,Republican,House,Michigan,H0MI10287,9,true,Won General,false,2022,2023,2025
Daniel Meuser,Republican,House,Pennsylvania,H8PA10147,9,true,Won General,false,2022,2023,2025
Paul Gosar,Republican,House,Arizona,H0AZ01259,9,true,Won General,false,2024,2025,2027
Andrew Clyde,Republican,House,Georgia,H0GA09246,9,true,Won General,false,2024,2025,2027
Lisa McClain,Republican,House,Michigan,H0MI10287,9,true,Won General,false,2024,2025,2027
Richard Hudson,Republican,House,North Carolina,H2NC08185,9,true,Won General,false,2024,2025,2027
Daniel Meuser,Republican,House,Pennsylvania,H8PA10147,9,true,Won General,false,2024,2025,2027
Charlotte Bergmann,Republican,House,Tennessee,H0TN09061,9,false,Lost General,false,2024,2025,2027
Morgan Griffith,Republican,House,Virginia,H0VA09055,9,true,Won General,false,2024,2025,2027
Scott Perry,Republican,House,Pennsylvania,H2PA04135,10,true,Won General,false,2022,2023,2025
Mike Collins,Republican,House,Georgia,H2GA03070,10,true,Won General,false,2022,2023,2025
Mike Collins,Republican,House,Georgia,H2GA03070,10,true,Won General,false,2024,2025,2027
Scott Perry,Republican,House,Pennsylvania,H2PA04135,10,true,Won General,false,2024,2025,2027
Nicole Malliotakis,Republican,House,New York,H0NY11078,11,true,Won General,false,2022,2023,2025
August Pfluger,Republican,House,Texas,H0TX11230,11,true,Won General,false,2022,2023,2025
Lloyd Smucker,Republican,House,Pennsylvania,H6PA16320,11,true,Won General,false,2022,2023,2025
Barry Loudermilk,Republican,House,Georgia,H4GA11061,11,true,Won General,false,2022,2023,2025
Daniel Webster,Republican,House,Florida,H0FL08208,11,true,Won General,false,2022,2023,2025
Daniel Webster,Republican,House,Florida,H0FL08208,11,true,Won General,false,2024,2025,2027
Barry Loudermilk,Republican,House,Georgia,H4GA11061,11,true,Won General,false,2024,2025,2027
Joseph Belnome,Republican,House,New Jersey,H4NJ11141,11,false,Lost General,false,2024,2025,2027
Nicole Malliotakis,Republican,House,New York,H0NY11078,11,true,Won General,false,2024,2025,2027
Lloyd Smucker,Republican,House,Pennsylvania,H6PA16320,11,true,Won General,false,2024,2025,2027
August Pfluger,Republican,House,Texas,H0TX11230,11,true,Won General,false,2024,2025,2027
Mike Bost,Republican,House,Illinois,H4IL12060,12,true,Won General,false,2022,2023,2025
Rick Allen,Republican,House,Georgia,H0GA02241,12,true,Won General,false,2022,2023,2025
Gus Bilirakis,Republican,House,Florida,H6FL09070,12,true,Won General,false,2022,2023,2025
Gus Bilirakis,Republican,House,Florida,H6FL09070,12,true,Won General,false,2024,2025,2027
Rick Allen,Republican,House,Georgia,H0GA02241,12,true,Won General,false,2024,2025,2027
Mike Bost,Republican,House,Illinois,H4IL12060,12,true,Won General,false,2024,2025,2027
James Hooper,Republican,House,Michigan,H2MI12198,12,false,Lost General,false,2024,2025,2027
Darius Mayfield,Republican,House,New Jersey,H2NJ12127,12,false,Lost General,false,2024,2025,2027
John Joyce,Republican,House,Pennsylvania,H8PA13125,13,true,Won General,false,2022,2023,2025
Ronny Jackson,Republican,House,Texas,H0TX13228,13,true,Won General,false,2022,2023,2025
Anna Paulina Luna,Republican,House,Florida,H0FL13158,13,false,Won General,false,2022,2023,2025
Anna Paulina Luna,Republican,House,Florida,H0FL13158,13,true,Won General,false,2024,2025,2027
Joshua Loyd,Republican,House,Illinois,H4IL13241,13,false,Lost General,false,2024,2025,2027
John Joyce,Republican,House,Pennsylvania,H8PA13125,13,true,Won General,false,2024,2025,2027
Ronny Jackson,Republican,House,Texas,H0TX13228,13,true,Won General,false,2024,2025,2027
Randy Weber,Republican,House,Texas,H2TX14149,14,true,Won General,false,2022,2023,2025
Guy Reschenthaler,Republican,House,Pennsylvania,H8PA18199,14,true,Won General,false,2022,2023,2025
Marjorie Taylor Greene,Republican,House,Georgia,H0GA06192,14,true,Won General,false,2022,2023,2025
Marjorie Taylor Greene,Republican,House,Georgia,H0GA06192,14,true,Won General,false,2024,2025,2027
Tina Forte,Republican,House,New York,H2NY14128,14,false,Lost General,false,2024,2025,2027
